deg	glk1_signal	glk2_signal	fpkm	distance
AT3G12930	0	6.48664	5.79043	32.509	598
AT3G15840	0	10.5665	8.65953	51.33	117
AT5G02950	0	5.76753	5.4066	35.5187	140
AT5G36950	0	7.52632	6.20092	44.6325	184
AT1G31173	0	49.2538	14.8714	25.9142	74
AT4G31550	0	8.85794	6.19576	225.919	128
AT4G30280	0	9.79927	8.19984	75.2433	367
AT3G23250	0	16.723	15.7131	30.203	534
AT5G13710	1	21.3723	17.2894	106.616	38
AT4G23300	0	26.3629	19.6188	2482.2	14
AT4G23290	0	7.63046	5.77818	128.154	644
AT2G03010	0	7.63046	5.77818	27.8158	955
AT5G57180	0	8.41998	7.20381	110.478	171
